id,mean_life,ph,pp
0,86.17,0.01,0.01
1,81.4,0.01,0.02
2,82.18,0.01,0.03
3,83.78,0.01,0.04
4,80.93,0.01,0.05
5,84.92,0.01,0.06
6,81.79,0.01,0.07
7,83.62,0.01,0.08
8,83.94,0.01,0.09
9,82.89,0.01,0.1
10,79.06,0.01,0.11
11,76.73,0.01,0.12
12,65.97,0.01,0.13
13,72.25,0.01,0.14
14,74.26,0.01,0.15
15,70.01,0.01,0.16
16,77.24,0.01,0.17
17,73.65,0.01,0.18
18,66.09,0.01,0.19
19,50.45,0.01,0.2
20,56.68,0.01,0.21
21,59.23,0.01,0.22
22,70.21,0.01,0.23
23,69.96,0.01,0.24
24,62.68,0.01,0.25
25,36.14,0.01,0.26
26,65.08,0.01,0.27
27,49.09,0.01,0.28
28,58.76,0.01,0.29
29,59.74,0.01,0.3
30,27.6,0.01,0.31
31,61.14,0.01,0.32
32,57.52,0.01,0.33
33,44.39,0.01,0.34
34,63.29,0.01,0.35
35,49.11,0.01,0.36
36,22.73,0.01,0.37
37,63.02,0.01,0.38
38,51.45,0.01,0.39
39,39.11,0.01,0.4
40,42.93,0.01,0.41
41,43.89,0.01,0.42
42,45.7,0.01,0.43
43,48.8,0.01,0.44
44,38.86,0.01,0.45
45,22.62,0.01,0.46
46,23.1,0.01,0.47
47,36.2,0.01,0.48
48,23.36,0.01,0.49
49,53.55,0.01,0.5
50,21.15,0.01,0.51
51,40.97,0.01,0.52
52,46.01,0.01,0.53
53,31.14,0.01,0.54
54,34.72,0.01,0.55
55,47.34,0.01,0.56
56,49.44,0.01,0.57
57,43.04,0.01,0.58
58,40.34,0.01,0.59
59,32.02,0.01,0.6
60,33.65,0.01,0.61
61,33.16,0.01,0.62
62,35.47,0.01,0.63
63,23.77,0.01,0.64
64,50.58,0.01,0.65
65,28.47,0.01,0.66
66,54.56,0.01,0.67
67,26.09,0.01,0.68
68,26.21,0.01,0.69
69,25.74,0.01,0.7
70,44.48,0.01,0.71
71,31.35,0.01,0.72
72,28.12,0.01,0.73
73,28.28,0.01,0.74
74,14.73,0.01,0.75
75,32.51,0.01,0.76
76,19.21,0.01,0.77
77,33.95,0.01,0.78
78,46.36,0.01,0.79
79,32.93,0.01,0.8
80,13.55,0.01,0.81
81,12.01,0.01,0.82
82,17.66,0.01,0.83
83,16.59,0.01,0.84
84,42.29,0.01,0.85
85,25.34,0.01,0.86
86,45.05,0.01,0.87
87,37.4,0.01,0.88
88,32.57,0.01,0.89
89,28.22,0.01,0.9
90,33.26,0.01,0.91
91,23.37,0.01,0.92
92,32.19,0.01,0.93
93,40.33,0.01,0.94
94,33.87,0.01,0.95
95,10.99,0.01,0.96
96,39.5,0.01,0.97
97,18.59,0.01,0.98
98,16.94,0.01,0.99
99,92.42,0.02,0.01
100,91.47,0.02,0.02
101,92.09,0.02,0.03
102,91.83,0.02,0.04
103,88.22,0.02,0.05
104,89.36,0.02,0.06
105,90.48,0.02,0.07
106,86.45,0.02,0.08
107,88.56,0.02,0.09
108,86.62,0.02,0.1
109,90.19,0.02,0.11
110,91.91,0.02,0.12
111,84.8,0.02,0.13
112,85.99,0.02,0.14
113,81,0.02,0.15
114,86.59,0.02,0.16
115,81.62,0.02,0.17
116,77.22,0.02,0.18
117,73.77,0.02,0.19
118,77.78,0.02,0.2
119,71.54,0.02,0.21
120,66.73,0.02,0.22
121,80.73,0.02,0.23
122,73.35,0.02,0.24
123,62.9,0.02,0.25
124,50.17,0.02,0.26
125,72.75,0.02,0.27
126,61.59,0.02,0.28
127,29.8,0.02,0.29
128,25.04,0.02,0.3
129,36.31,0.02,0.31
130,64.49,0.02,0.32
131,57.97,0.02,0.33
132,42.19,0.02,0.34
133,32.89,0.02,0.35
134,56.44,0.02,0.36
135,50.44,0.02,0.37
136,42.75,0.02,0.38
137,61.43,0.02,0.39
138,52.36,0.02,0.4
139,29.32,0.02,0.41
140,40.23,0.02,0.42
141,54.14,0.02,0.43
142,24.58,0.02,0.44
143,34.93,0.02,0.45
144,37.36,0.02,0.46
145,41.15,0.02,0.47
146,29.59,0.02,0.48
147,20.11,0.02,0.49
148,21.04,0.02,0.5
149,36.06,0.02,0.51
150,56.16,0.02,0.52
151,6.31,0.02,0.53
152,26.22,0.02,0.54
153,21.18,0.02,0.55
154,39.27,0.02,0.56
155,11.54,0.02,0.57
156,20.44,0.02,0.58
157,13.62,0.02,0.59
158,45.7,0.02,0.6
159,9.24,0.02,0.61
160,38.62,0.02,0.62
161,25.63,0.02,0.63
162,48.14,0.02,0.64
163,18.19,0.02,0.65
164,23.04,0.02,0.66
165,40.48,0.02,0.67
166,29.3,0.02,0.68
167,16.13,0.02,0.69
168,36.39,0.02,0.7
169,5.91,0.02,0.71
170,27.98,0.02,0.72
171,52.15,0.02,0.73
172,34.04,0.02,0.74
173,32.19,0.02,0.75
174,20.66,0.02,0.76
175,19,0.02,0.77
176,7.64,0.02,0.78
177,24.49,0.02,0.79
178,38.69,0.02,0.8
179,31.87,0.02,0.81
180,16.2,0.02,0.82
181,17.4,0.02,0.83
182,38.45,0.02,0.84
183,19.52,0.02,0.85
184,7.09,0.02,0.86
185,21.04,0.02,0.87
186,14.09,0.02,0.88
187,6.63,0.02,0.89
188,22.05,0.02,0.9
189,34.71,0.02,0.91
190,13.57,0.02,0.92
191,44.13,0.02,0.93
192,5.62,0.02,0.94
193,45.08,0.02,0.95
194,15.81,0.02,0.96
195,18.97,0.02,0.97
196,28.12,0.02,0.98
197,5.96,0.02,0.99
198,94.59,0.03,0.01
199,94.89,0.03,0.02
200,94.32,0.03,0.03
201,94.62,0.03,0.04
202,95.26,0.03,0.05
203,94.88,0.03,0.06
204,92.27,0.03,0.07
205,92.93,0.03,0.08
206,92.04,0.03,0.09
207,92.84,0.03,0.1
208,91.35,0.03,0.11
209,91.82,0.03,0.12
210,90.28,0.03,0.13
211,90.56,0.03,0.14
212,91.34,0.03,0.15
213,84.13,0.03,0.16
214,79.99,0.03,0.17
215,81.34,0.03,0.18
216,83.37,0.03,0.19
217,60.56,0.03,0.2
218,64.76,0.03,0.21
219,85.11,0.03,0.22
220,82.3,0.03,0.23
221,69.26,0.03,0.24
222,62.05,0.03,0.25
223,46.08,0.03,0.26
224,46.56,0.03,0.27
225,37.15,0.03,0.28
226,45.02,0.03,0.29
227,46.8,0.03,0.3
228,41.8,0.03,0.31
229,38,0.03,0.32
230,35.48,0.03,0.33
231,41.45,0.03,0.34
232,46.37,0.03,0.35
233,43.1,0.03,0.36
234,52.98,0.03,0.37
235,39.12,0.03,0.38
236,51.09,0.03,0.39
237,43.68,0.03,0.4
238,44.64,0.03,0.41
239,36.7,0.03,0.42
240,48.03,0.03,0.43
241,44,0.03,0.44
242,38.63,0.03,0.45
243,41.39,0.03,0.46
244,30.95,0.03,0.47
245,16.14,0.03,0.48
246,46.06,0.03,0.49
247,15.59,0.03,0.5
248,54.99,0.03,0.51
249,36.45,0.03,0.52
250,32.24,0.03,0.53
251,12.02,0.03,0.54
252,29.13,0.03,0.55
253,35.11,0.03,0.56
254,45.74,0.03,0.57
255,7.44,0.03,0.58
256,47.59,0.03,0.59
257,28.71,0.03,0.6
258,55.18,0.03,0.61
259,51.02,0.03,0.62
260,12.56,0.03,0.63
261,30.09,0.03,0.64
262,45.1,0.03,0.65
263,29.85,0.03,0.66
264,39.81,0.03,0.67
265,38.22,0.03,0.68
266,6.83,0.03,0.69
267,31.68,0.03,0.7
