id,mean_predators,ph,pp
0,0.4,0.01,0.01
1,0.44,0.01,0.02
2,0.48,0.01,0.03
3,0.56,0.01,0.04
4,0.8,0.01,0.05
5,0.72,0.01,0.06
6,0.68,0.01,0.07
7,0.64,0.01,0.08
8,0.8,0.01,0.09
9,0.8,0.01,0.1
10,0.8,0.01,0.11
11,0.88,0.01,0.12
12,1.32,0.01,0.13
13,1.12,0.01,0.14
14,0.96,0.01,0.15
15,1.16,0.01,0.16
16,0.92,0.01,0.17
17,1.08,0.01,0.18
18,1.4,0.01,0.19
19,2,0.01,0.2
20,1.72,0.01,0.21
21,1.68,0.01,0.22
22,1.36,0.01,0.23
23,1.16,0.01,0.24
24,1.68,0.01,0.25
25,2.56,0.01,0.26
26,1.8,0.01,0.27
27,2.24,0.01,0.28
28,1.6,0.01,0.29
29,1.84,0.01,0.3
30,3.84,0.01,0.31
31,1.4,0.01,0.32
32,1.76,0.01,0.33
33,2.48,0.01,0.34
34,1.48,0.01,0.35
35,2,0.01,0.36
36,3.12,0.01,0.37
37,1.68,0.01,0.38
38,1.84,0.01,0.39
39,2.04,0.01,0.4
40,1.96,0.01,0.41
41,2.04,0.01,0.42
42,1.72,0.01,0.43
43,1.96,0.01,0.44
44,2.16,0.01,0.45
45,2.76,0.01,0.46
46,3.04,0.01,0.47
47,2.36,0.01,0.48
48,3.28,0.01,0.49
49,1.68,0.01,0.5
50,2.68,0.01,0.51
51,2.2,0.01,0.52
52,1.88,0.01,0.53
53,2.36,0.01,0.54
54,2.28,0.01,0.55
55,1.88,0.01,0.56
56,1.72,0.01,0.57
57,1.96,0.01,0.58
58,2.16,0.01,0.59
59,2.2,0.01,0.6
60,2.52,0.01,0.61
61,2.12,0.01,0.62
62,2.36,0.01,0.63
63,2.76,0.01,0.64
64,1.92,0.01,0.65
65,2.12,0.01,0.66
66,1.8,0.01,0.67
67,2.32,0.01,0.68
68,2.48,0.01,0.69
69,2.56,0.01,0.7
70,1.88,0.01,0.71
71,2.4,0.01,0.72
72,2.4,0.01,0.73
73,2.44,0.01,0.74
74,2.8,0.01,0.75
75,2.24,0.01,0.76
76,2.56,0.01,0.77
77,2.64,0.01,0.78
78,2,0.01,0.79
79,2.28,0.01,0.8
80,2.8,0.01,0.81
81,2.92,0.01,0.82
82,2.84,0.01,0.83
83,2.76,0.01,0.84
84,1.84,0.01,0.85
85,2.28,0.01,0.86
86,1.92,0.01,0.87
87,2,0.01,0.88
88,2.12,0.01,0.89
89,2.28,0.01,0.9
90,2.4,0.01,0.91
91,2.76,0.01,0.92
92,2.4,0.01,0.93
93,2,0.01,0.94
94,2.4,0.01,0.95
95,2.76,0.01,0.96
96,2,0.01,0.97
97,2.6,0.01,0.98
98,2.76,0.01,0.99
99,0.44,0.02,0.01
100,0.6,0.02,0.02
101,0.52,0.02,0.03
102,0.56,0.02,0.04
103,0.76,0.02,0.05
104,0.8,0.02,0.06
105,0.64,0.02,0.07
106,0.88,0.02,0.08
107,0.68,0.02,0.09
108,1.24,0.02,0.1
109,0.8,0.02,0.11
110,0.64,0.02,0.12
111,1.16,0.02,0.13
112,1.32,0.02,0.14
113,1.68,0.02,0.15
114,1.28,0.02,0.16
115,1.36,0.02,0.17
116,1.72,0.02,0.18
117,1.64,0.02,0.19
118,2.6,0.02,0.2
119,2.24,0.02,0.21
120,2.64,0.02,0.22
121,1.68,0.02,0.23
122,1.88,0.02,0.24
123,5.12,0.02,0.25
124,5.8,0.02,0.26
125,2.52,0.02,0.27
126,2.44,0.02,0.28
127,3.84,0.02,0.29
128,3.92,0.02,0.3
129,4.52,0.02,0.31
130,2.84,0.02,0.32
131,2.84,0.02,0.33
132,5.04,0.02,0.34
133,4.12,0.02,0.35
134,2.48,0.02,0.36
135,2.72,0.02,0.37
136,2.84,0.02,0.38
137,2.24,0.02,0.39
138,3.28,0.02,0.4
139,3.84,0.02,0.41
140,4.2,0.02,0.42
141,2.68,0.02,0.43
142,3.12,0.02,0.44
143,3.24,0.02,0.45
144,3.36,0.02,0.46
145,3.32,0.02,0.47
146,3,0.02,0.48
147,3.8,0.02,0.49
148,4.92,0.02,0.5
149,3,0.02,0.51
150,2.76,0.02,0.52
151,3.36,0.02,0.53
152,3.2,0.02,0.54
153,3,0.02,0.55
154,3.44,0.02,0.56
155,3.44,0.02,0.57
156,4.04,0.02,0.58
157,3.84,0.02,0.59
158,2.92,0.02,0.6
159,3.56,0.02,0.61
160,3.04,0.02,0.62
161,2.8,0.02,0.63
162,2.24,0.02,0.64
163,3.48,0.02,0.65
164,3.32,0.02,0.66
165,2.72,0.02,0.67
166,3.28,0.02,0.68
167,3.32,0.02,0.69
168,3,0.02,0.7
169,3.24,0.02,0.71
170,2.96,0.02,0.72
171,2.8,0.02,0.73
172,3,0.02,0.74
173,3.2,0.02,0.75
174,3.72,0.02,0.76
175,3.68,0.02,0.77
176,3.64,0.02,0.78
177,3.36,0.02,0.79
178,2.56,0.02,0.8
179,2.64,0.02,0.81
180,3.36,0.02,0.82
181,3.28,0.02,0.83
182,2.6,0.02,0.84
183,3.24,0.02,0.85
184,3.4,0.02,0.86
185,3,0.02,0.87
186,3.28,0.02,0.88
187,3.72,0.02,0.89
188,3.32,0.02,0.9
189,2.84,0.02,0.91
190,3.2,0.02,0.92
191,2.8,0.02,0.93
192,3.32,0.02,0.94
193,2.36,0.02,0.95
194,3.36,0.02,0.96
195,3.4,0.02,0.97
196,2.96,0.02,0.98
197,3.52,0.02,0.99
198,0.44,0.03,0.01
199,0.56,0.03,0.02
200,0.52,0.03,0.03
201,0.52,0.03,0.04
202,0.44,0.03,0.05
203,0.44,0.03,0.06
204,0.72,0.03,0.07
205,0.96,0.03,0.08
206,0.8,0.03,0.09
207,0.8,0.03,0.1
208,1.08,0.03,0.11
209,0.88,0.03,0.12
210,1.36,0.03,0.13
211,0.96,0.03,0.14
212,1.2,0.03,0.15
